trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,6.80590847172,,,,,,,,,,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
,,,,,,,,,,,,,space,11.8452585284,,,,,,,,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
,,,,,,,,,,,,,,,space,30.5077011436,,,,,,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
1,vcgpdm_dyn(30)-lvm(20)_final(4).mov,False,left,0,training(6).mov,0,0,0,119,,,,,,,,10:00:58:070,10:00:58:070,10:01:00:954,left,10:01:01:321,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
2,training(14).mov,False,right,0,vgpdm_dyn(30)-lvm(20)_final(2).mov,0,1,1,123,,,,,,,,10:01:02:115,10:01:02:839,10:01:05:824,right,10:01:06:325,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
3,vgpdm_dyn(25)-lvm(20)_final(4).mov,True,left,0,training(25).mov,0,2,2,140,,,,,,,,10:01:07:118,10:01:07:828,10:01:10:815,left,10:01:11:649,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
4,training(24).mov,False,right,0,vgpdm_dyn(10)-lvm(35)_final(8).mov,0,3,3,60,,,,,,,,10:01:12:435,10:01:13:150,10:01:16:152,right,10:01:16:853,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
5,training(9).mov,True,right,0,vcgpdm_dyn(35)-lvm(25)_final(8).mov,0,4,4,39,,,,,,,,10:01:17:623,10:01:18:354,10:01:21:356,left,10:01:22:524,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
6,training(4).mov,True,right,0,vcgpdm_dyn(10)-lvm(25)_final(5).mov,0,5,5,109,,,,,,,,10:01:23:313,10:01:24:025,10:01:27:029,left,10:01:27:513,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
7,tmp_numprim(3)_final(1).mov,True,left,0,training(6).mov,0,6,6,157,,,,,,,,10:01:28:289,10:01:29:030,10:01:32:016,left,10:01:32:533,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
8,vgpdm_dyn(10)-lvm(5)_final(0).mov,False,left,0,training(41).mov,0,7,7,133,,,,,,,,10:01:33:310,10:01:34:034,10:01:37:054,right,10:01:37:988,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
9,vcgpdm_dyn(5)-lvm(20)_final(2).mov,False,left,0,training(41).mov,0,8,8,34,,,,,,,,10:01:38:763,10:01:39:489,10:01:42:491,right,10:01:43:309,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
10,training(26).mov,True,right,0,vgpdm_dyn(20)-lvm(15)_final(7).mov,0,9,9,81,,,,,,,,10:01:44:102,10:01:44:811,10:01:47:811,left,10:01:48:829,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
11,vcgpdm_dyn(25)-lvm(35)_final(1).mov,True,left,0,training(5).mov,0,10,10,126,,,,,,,,10:01:49:615,10:01:50:330,10:01:53:332,right,10:01:53:783,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
12,vcgpdm_dyn(5)-lvm(20)_final(1).mov,True,left,0,training(8).mov,0,11,11,64,,,,,,,,10:01:54:562,10:01:55:284,10:01:58:271,left,10:01:58:655,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
13,tmp_numprim(3)_final(0).mov,False,left,0,training(6).mov,0,12,12,44,,,,,,,,10:01:59:427,10:02:00:156,10:02:03:160,left,10:02:03:577,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
14,vgpdm_dyn(35)-lvm(5)_final(2).mov,False,left,0,training(35).mov,0,13,13,42,,,,,,,,10:02:04:340,10:02:05:095,10:02:08:080,left,10:02:08:848,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
15,training(17).mov,False,right,0,vgpdm_dyn(35)-lvm(10)_final(4).mov,0,14,14,36,,,,,,,,10:02:09:634,10:02:10:349,10:02:13:351,left,10:02:14:235,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
16,training(23).mov,False,right,0,vcgpdm_dyn(10)-lvm(25)_final(1).mov,0,15,15,97,,,,,,,,10:02:15:024,10:02:15:753,10:02:18:757,right,10:02:19:157,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
17,vgpdm_dyn(10)-lvm(25)_final(8).mov,True,left,0,training(1).mov,0,16,16,11,,,,,,,,10:02:19:940,10:02:20:658,10:02:23:661,left,10:02:24:228,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
18,vcgpdm_dyn(10)-lvm(10)_final(8).mov,False,left,0,training(24).mov,0,17,17,62,,,,,,,,10:02:25:004,10:02:25:729,10:02:28:732,right,10:02:29:265,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
19,training(28).mov,True,right,0,dmp_npsi(30)_final(6).mov,0,18,18,73,,,,,,,,10:02:30:129,10:02:30:766,10:02:33:769,right,10:02:35:104,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
20,vcgpdm_dyn(10)-lvm(5)_final(4).mov,False,left,0,training(35).mov,0,19,19,27,,,,,,,,10:02:35:878,10:02:36:621,10:02:39:606,right,10:02:40:490,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
21,vgpdm_dyn(30)-lvm(25)_final(0).mov,True,left,0,training(41).mov,0,20,20,49,,,,,,,,10:02:41:328,10:02:41:991,10:02:44:994,right,10:02:45:411,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
22,training(4).mov,False,right,0,vcgpdm_dyn(10)-lvm(5)_final(4).mov,0,21,21,128,,,,,,,,10:02:46:183,10:02:46:929,10:02:49:916,left,10:02:50:884,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
23,vgpdm_dyn(35)-lvm(30)_final(0).mov,False,left,0,training(14).mov,0,22,22,1,,,,,,,,10:02:51:669,10:02:52:401,10:02:55:388,right,10:02:56:390,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
24,vcgpdm_dyn(15)-lvm(5)_final(2).mov,False,left,0,training(9).mov,0,23,23,115,,,,,,,,10:02:57:160,10:02:57:907,10:03:00:910,left,10:03:01:560,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
25,vcgpdm_dyn(20)-lvm(15)_final(0).mov,False,left,0,training(11).mov,0,24,24,125,,,,,,,,10:03:02:338,10:03:03:078,10:03:06:064,left,10:03:06:431,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
26,dmp_npsi(25)_final(1).mov,True,left,0,training(31).mov,0,25,25,142,,,,,,,,10:03:07:205,10:03:07:932,10:03:10:934,left,10:03:11:336,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
27,training(24).mov,True,right,0,vgpdm_dyn(30)-lvm(10)_final(1).mov,0,26,26,51,,,,,,,,10:03:12:971,10:03:12:971,10:03:15:839,right,10:03:16:457,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
28,training(4).mov,True,right,0,vcgpdm_dyn(30)-lvm(35)_final(0).mov,0,27,27,30,,,,,,,,10:03:17:237,10:03:17:957,10:03:20:977,right,10:03:21:394,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
29,tmp_numprim(2)_final(3).mov,True,left,0,training(4).mov,0,28,28,96,,,,,,,,10:03:22:159,10:03:22:895,10:03:25:914,left,10:03:26:298,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
30,dmp_npsi(25)_final(5).mov,False,left,0,training(28).mov,0,29,29,28,,,,,,,,10:03:27:096,10:03:27:814,10:03:30:817,left,10:03:31:184,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
31,vgpdm_dyn(30)-lvm(30)_final(7).mov,False,left,0,training(3).mov,0,30,30,8,,,,,,,,10:03:31:982,10:03:32:685,10:03:35:688,left,10:03:36:622,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
32,vcgpdm_dyn(30)-lvm(5)_final(5).mov,True,left,0,training(23).mov,0,31,31,145,,,,,,,,10:03:37:394,10:03:38:125,10:03:41:127,right,10:03:41:578,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
33,training(2).mov,False,right,0,vgpdm_dyn(25)-lvm(35)_final(7).mov,0,32,32,100,,,,,,,,10:03:42:417,10:03:43:079,10:03:46:082,left,10:03:46:449,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
34,training(33).mov,True,right,0,dmp_npsi(35)_final(3).mov,0,33,33,110,,,,,,,,10:03:47:238,10:03:47:950,10:03:50:969,right,10:03:51:670,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
35,training(11).mov,True,right,0,vcgpdm_dyn(25)-lvm(35)_final(0).mov,0,34,34,131,,,,,,,,10:03:52:475,10:03:53:171,10:03:56:174,right,10:03:56:941,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
36,training(37).mov,False,right,0,vgpdm_dyn(25)-lvm(30)_final(0).mov,0,35,35,32,,,,,,,,10:03:57:720,10:03:58:442,10:04:01:461,right,10:04:01:912,,2018_May_29_1000,59.9492832123,MP-Perception Experiment,x01w19,
