trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,91.59663903,,,,,,,,,,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
,,,,,,,,,,,,,space,13.1098709142,,,,,,,,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
,,,,,,,,,,,,,,,space,11.7790622136,,,,,,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
1,training(6).mov,True,right,0,tmp_numprim(10)_final(3).mov,0,0,0,73,,,,,,,,08:04:00:964,08:04:00:964,08:04:03:803,left,08:04:05:488,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
2,training(23).mov,False,right,0,vgpdm_dyn(15)-lvm(30)_final(8).mov,0,1,1,125,,,,,,,,08:04:06:274,08:04:07:005,08:04:09:992,right,08:04:10:459,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
3,vcgpdm_dyn(20)-lvm(5)_final(6).mov,True,left,0,training(48).mov,0,2,2,119,,,,,,,,08:04:11:239,08:04:11:960,08:04:14:963,right,08:04:16:364,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
4,vcgpdm_dyn(15)-lvm(30)_final(2).mov,False,left,0,training(28).mov,0,3,3,33,,,,,,,,08:04:17:151,08:04:17:865,08:04:20:868,left,08:04:22:219,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
5,vcgpdm_dyn(30)-lvm(5)_final(2).mov,False,left,0,training(31).mov,0,4,4,117,,,,,,,,08:04:23:004,08:04:23:720,08:04:26:723,left,08:04:29:509,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
6,training(33).mov,True,right,0,vcgpdm_dyn(5)-lvm(25)_final(9).mov,0,5,5,122,,,,,,,,08:04:30:298,08:04:31:010,08:04:34:011,right,08:04:34:528,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
7,training(6).mov,False,right,0,vgpdm_dyn(10)-lvm(15)_final(4).mov,0,6,6,113,,,,,,,,08:04:35:314,08:04:36:029,08:04:39:031,left,08:04:39:632,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
8,vcgpdm_dyn(15)-lvm(20)_final(9).mov,True,left,0,training(26).mov,0,7,7,115,,,,,,,,08:04:40:415,08:04:41:133,08:04:44:136,left,08:04:44:804,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
9,training(40).mov,False,right,0,vcgpdm_dyn(20)-lvm(30)_final(7).mov,0,8,8,20,,,,,,,,08:04:45:599,08:04:46:307,08:04:49:309,right,08:04:49:993,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
10,vcgpdm_dyn(20)-lvm(10)_final(3).mov,True,left,0,training(19).mov,0,9,9,106,,,,,,,,08:04:50:767,08:04:51:494,08:04:54:513,left,08:04:56:265,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
11,training(20).mov,True,right,0,vgpdm_dyn(30)-lvm(20)_final(1).mov,0,10,10,130,,,,,,,,08:04:57:048,08:04:57:783,08:05:00:768,right,08:05:03:355,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
12,vcgpdm_dyn(25)-lvm(5)_final(7).mov,False,left,0,training(16).mov,0,11,11,0,,,,,,,,08:05:04:129,08:05:04:856,08:05:07:858,right,08:05:09:627,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
13,training(36).mov,False,right,0,vcgpdm_dyn(10)-lvm(5)_final(1).mov,0,12,12,139,,,,,,,,08:05:10:396,08:05:11:128,08:05:14:130,left,08:05:14:831,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
14,training(9).mov,False,right,0,dmp_npsi(25)_final(6).mov,0,13,13,114,,,,,,,,08:05:15:610,08:05:16:332,08:05:19:335,left,08:05:19:686,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
15,vgpdm_dyn(30)-lvm(25)_final(1).mov,False,left,0,training(22).mov,0,14,14,51,,,,,,,,08:05:20:478,08:05:21:187,08:05:24:187,left,08:05:24:838,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
16,training(32).mov,True,right,0,vcgpdm_dyn(5)-lvm(25)_final(3).mov,0,15,15,107,,,,,,,,08:05:25:615,08:05:26:339,08:05:29:342,right,08:05:30:009,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
17,training(23).mov,True,right,0,vcgpdm_dyn(15)-lvm(15)_final(5).mov,0,16,16,128,,,,,,,,08:05:30:777,08:05:31:510,08:05:34:497,right,08:05:37:601,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
18,tmp_numprim(9)_final(5).mov,True,left,0,training(22).mov,0,17,17,123,,,,,,,,08:05:38:428,08:05:39:102,08:05:42:105,right,08:05:44:106,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
19,vgpdm_dyn(20)-lvm(30)_final(6).mov,True,left,0,training(7).mov,0,18,18,4,,,,,,,,08:05:44:877,08:05:45:607,08:05:48:610,left,08:05:51:946,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
20,vcgpdm_dyn(5)-lvm(20)_final(7).mov,False,left,0,training(34).mov,0,19,19,66,,,,,,,,08:05:52:741,08:05:53:447,08:05:56:451,left,08:05:58:502,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
21,vgpdm_dyn(10)-lvm(30)_final(0).mov,False,left,0,training(23).mov,0,20,20,37,,,,,,,,08:05:59:290,08:06:00:003,08:06:03:006,left,08:06:03:690,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
22,vgpdm_dyn(25)-lvm(30)_final(6).mov,False,left,0,training(34).mov,0,21,21,40,,,,,,,,08:06:04:475,08:06:05:208,08:06:08:210,right,08:06:10:228,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
23,vgpdm_dyn(10)-lvm(10)_final(9).mov,False,left,0,training(32).mov,0,22,22,2,,,,,,,,08:06:11:007,08:06:11:730,08:06:14:731,left,08:06:15:098,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
24,training(23).mov,False,right,0,vgpdm_dyn(20)-lvm(35)_final(9).mov,0,23,23,1,,,,,,,,08:06:15:882,08:06:16:616,08:06:19:602,right,08:06:20:903,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
25,map_gpdm_final(2).mov,False,left,0,training(37).mov,0,24,24,116,,,,,,,,08:06:21:691,08:06:22:404,08:06:25:392,left,08:06:26:025,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
26,training(34).mov,False,right,0,vcgpdm_dyn(15)-lvm(5)_final(5).mov,0,25,25,7,,,,,,,,08:06:26:810,08:06:27:527,08:06:30:530,right,08:06:32:265,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
27,training(8).mov,False,right,0,tmp_numprim(6)_final(0).mov,0,26,26,155,,,,,,,,08:06:33:045,08:06:33:766,08:06:36:785,right,08:06:38:870,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
28,training(4).mov,False,right,0,vgpdm_dyn(10)-lvm(35)_final(0).mov,0,27,27,62,,,,,,,,08:06:39:660,08:06:40:388,08:06:43:390,right,08:06:43:874,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
29,training(4).mov,True,right,0,map_gpdm_final(3).mov,0,28,28,56,,,,,,,,08:06:44:644,08:06:45:375,08:06:48:379,right,08:06:49:096,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
30,vgpdm_dyn(15)-lvm(35)_final(5).mov,True,left,0,training(29).mov,0,29,29,82,,,,,,,,08:06:49:899,08:06:50:614,08:06:53:600,right,08:06:54:117,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
31,tmp_numprim(6)_final(1).mov,True,left,0,training(19).mov,0,30,30,87,,,,,,,,08:06:54:898,08:06:55:618,08:06:58:620,left,08:07:00:205,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
32,vgpdm_dyn(5)-lvm(20)_final(2).mov,True,left,0,training(14).mov,0,31,31,132,,,,,,,,08:07:00:986,08:07:01:706,08:07:04:708,left,08:07:05:092,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
33,vgpdm_dyn(5)-lvm(10)_final(5).mov,False,left,0,training(36).mov,0,32,32,57,,,,,,,,08:07:05:867,08:07:06:593,08:07:09:595,right,08:07:10:062,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
34,training(25).mov,False,right,0,vgpdm_dyn(25)-lvm(35)_final(4).mov,0,33,33,133,,,,,,,,08:07:10:840,08:07:11:563,08:07:14:551,left,08:07:15:919,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
35,training(35).mov,False,right,0,vgpdm_dyn(5)-lvm(10)_final(8).mov,0,34,34,136,,,,,,,,08:07:16:725,08:07:17:420,08:07:20:422,right,08:07:21:158,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
36,training(37).mov,True,right,0,vcgpdm_dyn(25)-lvm(10)_final(4).mov,0,35,35,152,,,,,,,,08:07:21:942,08:07:22:658,08:07:25:661,left,08:07:26:078,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
37,training(28).mov,False,right,0,vcgpdm_dyn(15)-lvm(20)_final(7).mov,0,36,36,121,,,,,,,,08:07:26:870,08:07:27:579,08:07:30:582,left,08:07:31:899,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
38,training(33).mov,True,right,0,vgpdm_dyn(10)-lvm(5)_final(9).mov,0,37,37,101,,,,,,,,08:07:32:681,08:07:33:417,08:07:36:420,right,08:07:37:321,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
39,vgpdm_dyn(35)-lvm(10)_final(0).mov,True,left,0,training(37).mov,0,38,38,90,,,,,,,,08:07:38:113,08:07:38:823,08:07:41:842,right,08:07:44:527,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
40,training(17).mov,False,right,0,vcgpdm_dyn(35)-lvm(25)_final(6).mov,0,39,39,58,,,,,,,,08:07:45:303,08:07:46:028,08:07:49:031,right,08:07:49:815,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
41,tmp_numprim(10)_final(3).mov,False,left,0,training(27).mov,0,40,40,10,,,,,,,,08:07:50:592,08:07:51:333,08:07:54:317,left,08:07:54:767,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
42,vcgpdm_dyn(30)-lvm(35)_final(1).mov,True,left,0,training(33).mov,0,41,41,21,,,,,,,,08:07:55:534,08:07:56:269,08:07:59:272,right,08:07:59:772,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
43,vcgpdm_dyn(30)-lvm(25)_final(7).mov,False,left,0,training(35).mov,0,42,42,49,,,,,,,,08:08:00:548,08:08:01:273,08:08:04:261,left,08:08:04:745,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
44,vcgpdm_dyn(15)-lvm(25)_final(4).mov,True,left,0,training(36).mov,0,43,43,75,,,,,,,,08:08:05:512,08:08:06:246,08:08:09:265,left,08:08:10:616,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
45,vgpdm_dyn(30)-lvm(15)_final(7).mov,True,left,0,training(7).mov,0,44,44,54,,,,,,,,08:08:11:398,08:08:12:134,08:08:15:137,left,08:08:16:088,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
46,training(25).mov,True,right,0,vgpdm_dyn(10)-lvm(25)_final(3).mov,0,45,45,153,,,,,,,,08:08:16:864,08:08:17:606,08:08:20:591,right,08:08:21:692,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
