trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
,,,,,,,,,,space,0,13.5801898655,,,,,,,,,,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
,,,,,,,,,,,,,space,14.8463255843,,,,,,,,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
,,,,,,,,,,,,,,,space,23.1515168125,,,,,,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
1,dmp_npsi(25)_final(0).mov,False,left,0,training(4).mov,0,0,0,41,,,,,,,,08:03:31:749,08:03:31:750,08:03:34:622,left,08:03:35:640,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
2,vgpdm_dyn(30)-lvm(25)_final(7).mov,True,left,0,training(19).mov,0,1,1,76,,,,,,,,08:03:36:447,08:03:37:157,08:03:40:145,right,08:03:41:146,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
3,vcgpdm_dyn(15)-lvm(20)_final(6).mov,False,left,0,training(5).mov,0,2,2,56,,,,,,,,08:03:41:931,08:03:42:647,08:03:45:649,left,08:03:46:150,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
4,training(7).mov,True,right,0,vcgpdm_dyn(20)-lvm(20)_final(8).mov,0,3,3,121,,,,,,,,08:03:46:931,08:03:47:651,08:03:50:654,left,08:03:51:622,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
5,training(21).mov,True,right,0,vgpdm_dyn(15)-lvm(15)_final(8).mov,0,4,4,57,,,,,,,,08:03:52:410,08:03:53:140,08:03:56:125,right,08:03:56:592,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
6,vgpdm_dyn(30)-lvm(25)_final(2).mov,False,left,0,training(17).mov,0,5,5,119,,,,,,,,08:03:57:362,08:03:58:094,08:04:01:113,right,08:04:02:397,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
7,training(3).mov,False,right,0,tmp_numprim(9)_final(7).mov,0,6,6,137,,,,,,,,08:04:03:175,08:04:03:898,08:04:06:901,left,08:04:07:486,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
8,vgpdm_dyn(30)-lvm(35)_final(8).mov,True,left,0,training(17).mov,0,7,7,12,,,,,,,,08:04:08:281,08:04:09:004,08:04:11:989,left,08:04:12:756,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
9,vcgpdm_dyn(15)-lvm(25)_final(2).mov,True,left,0,training(36).mov,0,8,8,158,,,,,,,,08:04:13:546,08:04:14:258,08:04:17:260,left,08:04:17:742,,,2018_Jun_04_0802,59.9529635661,MP-Perception Experiment,xx07m29re,
