trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
,,,,,,,,,,space,0,93.1646395215,,,,,,,,,,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
,,,,,,,,,,,,,space,8.82307563267,,,,,,,,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
,,,,,,,,,,,,,,,space,10.5442033086,,,,,,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
1,vgpdm_dyn(5)-lvm(15)_final(2).mov,False,left,0,training(12).mov,0,0,0,110,,,,,,,,13:32:44:769,13:32:44:769,13:32:47:616,left,13:32:49:317,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
2,training(24).mov,True,right,0,vcgpdm_dyn(30)-lvm(20)_final(8).mov,0,1,1,147,,,,,,,,13:32:50:069,13:32:50:836,13:32:53:822,right,13:32:54:906,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
3,vgpdm_dyn(15)-lvm(30)_final(9).mov,False,left,0,training(31).mov,0,2,2,129,,,,,,,,13:32:55:671,13:32:56:407,13:32:59:410,left,13:33:00:010,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
4,training(35).mov,False,right,0,vcgpdm_dyn(35)-lvm(20)_final(2).mov,0,3,3,49,,,,,,,,13:33:00:767,13:33:01:511,13:33:04:514,left,13:33:05:682,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
5,training(37).mov,False,right,0,vgpdm_dyn(20)-lvm(25)_final(0).mov,0,4,4,79,,,,,,,,13:33:06:441,13:33:07:182,13:33:10:186,right,13:33:11:087,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
6,training(32).mov,False,right,0,vcgpdm_dyn(30)-lvm(35)_final(0).mov,0,5,5,124,,,,,,,,13:33:11:862,13:33:12:588,13:33:15:607,right,13:33:16:358,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
7,dmp_npsi(20)_final(9).mov,True,left,0,training(48).mov,0,6,6,90,,,,,,,,13:33:17:113,13:33:17:859,13:33:20:859,left,13:33:21:277,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
8,vgpdm_dyn(20)-lvm(15)_final(0).mov,True,left,0,training(18).mov,0,7,7,9,,,,,,,,13:33:22:036,13:33:22:778,13:33:25:781,left,13:33:26:265,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
9,training(35).mov,True,right,0,vcgpdm_dyn(5)-lvm(20)_final(5).mov,0,8,8,95,,,,,,,,13:33:27:063,13:33:27:783,13:33:30:768,right,13:33:31:252,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
10,map_gpdm_final(3).mov,False,left,0,training(39).mov,0,9,9,104,,,,,,,,13:33:32:006,13:33:32:753,13:33:35:758,left,13:33:36:358,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
11,training(31).mov,True,right,0,vcgpdm_dyn(5)-lvm(35)_final(8)_bad.mov,0,10,10,145,,,,,,,,13:33:37:106,13:33:37:859,13:33:40:878,right,13:33:41:496,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
12,training(32).mov,False,right,0,vcgpdm_dyn(15)-lvm(25)_final(9).mov,0,11,11,28,,,,,,,,13:33:42:248,13:33:42:998,13:33:46:001,right,13:33:46:501,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
13,training(24).mov,False,right,0,vcgpdm_dyn(15)-lvm(20)_final(8).mov,0,12,12,18,,,,,,,,13:33:47:281,13:33:48:002,13:33:51:004,right,13:33:51:505,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
14,training(4).mov,True,right,0,vcgpdm_dyn(35)-lvm(10)_final(0).mov,0,13,13,40,,,,,,,,13:33:52:273,13:33:53:006,13:33:56:008,right,13:33:56:942,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
15,training(40).mov,False,right,0,vcgpdm_dyn(30)-lvm(5)_final(2).mov,0,14,14,47,,,,,,,,13:33:57:702,13:33:58:444,13:34:01:447,right,13:34:01:898,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
16,vgpdm_dyn(20)-lvm(25)_final(9).mov,False,left,0,training(15).mov,0,15,15,114,,,,,,,,13:34:02:655,13:34:03:399,13:34:06:418,left,13:34:06:918,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
17,vcgpdm_dyn(25)-lvm(25)_final(2).mov,False,left,0,training(39).mov,0,16,16,105,,,,,,,,13:34:07:672,13:34:08:419,13:34:11:437,left,13:34:11:920,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
18,dmp_npsi(45)_final(5).mov,False,left,0,training(11).mov,0,17,17,46,,,,,,,,13:34:12:686,13:34:13:422,13:34:16:424,left,13:34:16:791,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
19,vgpdm_dyn(10)-lvm(30)_final(5).mov,False,left,0,training(2).mov,0,18,18,32,,,,,,,,13:34:17:589,13:34:18:310,13:34:21:281,left,13:34:21:781,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
20,training(33).mov,True,right,0,vgpdm_dyn(30)-lvm(20)_final(4).mov,0,19,19,29,,,,,,,,13:34:22:532,13:34:23:282,13:34:26:285,left,13:34:26:785,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
21,training(34).mov,True,right,0,vcgpdm_dyn(35)-lvm(20)_final(2).mov,0,20,20,85,,,,,,,,13:34:27:659,13:34:28:303,13:34:31:289,right,13:34:31:789,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
22,training(39).mov,False,right,0,map_gpdm_final(4).mov,0,21,21,21,,,,,,,,13:34:32:549,13:34:33:290,13:34:36:294,right,13:34:36:628,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
23,vcgpdm_dyn(20)-lvm(20)_final(9).mov,False,left,0,training(27).mov,0,22,22,158,,,,,,,,13:34:37:379,13:34:38:129,13:34:41:131,right,13:34:42:616,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
24,training(35).mov,False,right,0,tmp_numprim(4)_final(1).mov,0,23,23,15,,,,,,,,13:34:43:380,13:34:44:117,13:34:47:119,right,13:34:47:587,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
25,training(26).mov,True,right,0,tmp_numprim(10)_final(1).mov,0,24,24,37,,,,,,,,13:34:48:351,13:34:49:104,13:34:52:090,left,13:34:52:591,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
26,training(36).mov,True,right,0,tmp_numprim(9)_final(3).mov,0,25,25,131,,,,,,,,13:34:53:370,13:34:54:092,13:34:57:111,right,13:34:57:612,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
27,training(2).mov,False,right,0,dmp_npsi(15)_final(7).mov,0,26,26,30,,,,,,,,13:34:58:366,13:34:59:113,13:35:02:114,right,13:35:02:531,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
28,vcgpdm_dyn(25)-lvm(30)_final(3).mov,True,left,0,training(7).mov,0,27,27,152,,,,,,,,13:35:03:304,13:35:04:032,13:35:07:034,left,13:35:07:368,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
29,training(35).mov,False,right,0,vgpdm_dyn(30)-lvm(30)_final(2).mov,0,28,28,68,,,,,,,,13:35:08:125,13:35:08:869,13:35:11:858,left,13:35:12:342,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
30,vcgpdm_dyn(15)-lvm(35)_final(0).mov,True,left,0,training(0).mov,0,29,29,74,,,,,,,,13:35:13:099,13:35:13:843,13:35:16:845,right,13:35:17:346,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
31,vcgpdm_dyn(30)-lvm(35)_final(7).mov,False,left,0,training(30).mov,0,30,30,69,,,,,,,,13:35:18:114,13:35:18:847,13:35:21:866,left,13:35:22:267,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
32,vgpdm_dyn(30)-lvm(25)_final(8).mov,True,left,0,training(7).mov,0,31,31,83,,,,,,,,13:35:23:037,13:35:23:784,13:35:26:803,left,13:35:27:237,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
33,vcgpdm_dyn(25)-lvm(15)_final(5).mov,False,left,0,training(34).mov,0,32,32,61,,,,,,,,13:35:27:997,13:35:28:739,13:35:31:741,left,13:35:32:059,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
34,vcgpdm_dyn(5)-lvm(10)_final(0).mov,True,left,0,training(2).mov,0,33,33,64,,,,,,,,13:35:32:810,13:35:33:560,13:35:36:562,left,13:35:36:996,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
35,vgpdm_dyn(25)-lvm(5)_final(4).mov,True,left,0,training(25).mov,0,34,34,153,,,,,,,,13:35:37:772,13:35:38:497,13:35:41:499,left,13:35:41:967,,,2018_Jun_04_1330,60.0008493197,MP-Perception Experiment,xx08m28,
