trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,15.8152526646,,,,,,,,,,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
,,,,,,,,,,,,,space,26.9899245592,,,,,,,,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
,,,,,,,,,,,,,,,space,17.4485221593,,,,,,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
1,vgpdm_dyn(5)-lvm(20)_final(1).mov,False,left,0,training(32).mov,0,0,0,143,,,,,,,,09:46:17:029,09:46:17:579,09:46:20:565,left,09:46:21:182,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
2,training(40).mov,True,right,0,dmp_npsi(40)_final(3).mov,0,1,1,6,,,,,,,,09:46:21:946,09:46:22:683,09:46:25:686,left,09:46:27:120,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
3,training(16).mov,False,right,0,map_gpdm_final(1).mov,0,2,2,80,,,,,,,,09:46:27:861,09:46:28:621,09:46:31:625,right,09:46:32:092,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
4,tmp_numprim(6)_final(1).mov,True,left,0,training(21).mov,0,3,3,2,,,,,,,,09:46:32:845,09:46:33:593,09:46:36:612,left,09:46:39:031,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
5,tmp_numprim(5)_final(9).mov,True,left,0,training(13).mov,0,4,4,128,,,,,,,,09:46:39:783,09:46:40:532,09:46:43:534,right,09:46:45:286,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
6,training(9).mov,False,right,0,tmp_numprim(7)_final(6).mov,0,5,5,34,,,,,,,,09:46:46:213,09:46:46:787,09:46:49:791,right,09:46:52:226,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
7,training(37).mov,True,right,0,tmp_numprim(3)_final(7).mov,0,6,6,97,,,,,,,,09:46:53:164,09:46:53:744,09:46:56:728,right,09:46:57:495,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
8,training(20).mov,False,right,0,tmp_numprim(10)_final(1).mov,0,7,7,62,,,,,,,,09:46:58:307,09:46:58:996,09:47:01:999,right,09:47:04:417,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
9,vgpdm_dyn(20)-lvm(20)_final(2).mov,True,left,0,training(16).mov,0,8,8,85,,,,,,,,09:47:05:373,09:47:05:935,09:47:08:922,left,09:47:11:076,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
10,vgpdm_dyn(5)-lvm(20)_final(2).mov,False,left,0,training(21).mov,0,9,9,76,,,,,,,,09:47:11:833,09:47:12:577,09:47:15:579,left,09:47:18:982,2018_Jun_06_0945,59.9334844749,MP-Perception Experiment,xx11m26,
