trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
,,,,,,,,,,space,0,30.8446069569,,,,,,,,,,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
,,,,,,,,,,,,,space,17.7136711942,,,,,,,,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
,,,,,,,,,,,,,,,space,10.7093032956,,,,,,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
1,training(24).mov,False,right,0,vgpdm_dyn(30)-lvm(5)_final(5).mov,0,0,0,154,,,,,,,,11:40:29:938,11:40:29:939,11:40:32:793,right,11:40:33:577,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
2,tmp_numprim(7)_final(4).mov,False,left,0,training(10).mov,0,1,1,13,,,,,,,,11:40:34:336,11:40:35:095,11:40:38:081,right,11:40:39:515,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
3,vgpdm_dyn(15)-lvm(30)_final(0).mov,False,left,0,training(25).mov,0,2,2,118,,,,,,,,11:40:40:263,11:40:41:016,11:40:44:035,left,11:40:44:686,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
4,training(10).mov,False,right,0,dmp_npsi(15)_final(4).mov,0,3,3,24,,,,,,,,11:40:45:441,11:40:46:187,11:40:49:207,right,11:40:49:841,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
5,training(38).mov,True,right,0,vgpdm_dyn(20)-lvm(30)_final(2).mov,0,4,4,150,,,,,,,,11:40:50:599,11:40:51:342,11:40:54:345,right,11:40:55:029,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
6,training(8).mov,True,right,0,vcgpdm_dyn(20)-lvm(10)_final(1).mov,0,5,5,7,,,,,,,,11:40:55:786,11:40:56:547,11:40:59:532,left,11:41:00:050,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
7,vcgpdm_dyn(10)-lvm(10)_final(8).mov,True,left,0,training(1).mov,0,6,6,140,,,,,,,,11:41:00:810,11:41:01:551,11:41:04:570,left,11:41:05:104,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
8,dmp_npsi(40)_final(9).mov,True,left,0,training(2).mov,0,7,7,12,,,,,,,,11:41:05:875,11:41:06:606,11:41:09:606,left,11:41:10:174,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
9,training(41).mov,False,right,0,vcgpdm_dyn(15)-lvm(35)_final(9).mov,0,8,8,145,,,,,,,,11:41:10:940,11:41:11:691,11:41:14:677,right,11:41:15:311,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
10,tmp_numprim(5)_final(5).mov,False,left,0,training(3).mov,0,9,9,69,,,,,,,,11:41:16:066,11:41:16:812,11:41:19:817,right,11:41:20:500,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
11,training(29).mov,True,right,0,vcgpdm_dyn(30)-lvm(15)_final(0).mov,0,10,10,127,,,,,,,,11:41:21:252,11:41:22:001,11:41:25:005,left,11:41:25:522,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
12,vcgpdm_dyn(25)-lvm(5)_final(1).mov,False,left,0,training(41).mov,0,11,11,29,,,,,,,,11:41:26:277,11:41:27:040,11:41:30:042,right,11:41:30:527,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
13,vgpdm_dyn(20)-lvm(35)_final(0).mov,False,left,0,training(4).mov,0,12,12,78,,,,,,,,11:41:31:288,11:41:32:044,11:41:35:063,right,11:41:35:580,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
14,training(31).mov,True,right,0,vgpdm_dyn(10)-lvm(35)_final(2).mov,0,13,13,86,,,,,,,,11:41:36:334,11:41:37:081,11:41:40:084,right,11:41:40:618,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
15,training(15).mov,False,right,0,vcgpdm_dyn(15)-lvm(10)_final(9).mov,0,14,14,58,,,,,,,,11:41:41:383,11:41:42:120,11:41:45:122,right,11:41:45:773,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
16,training(14).mov,True,right,0,vgpdm_dyn(5)-lvm(15)_final(9).mov,0,15,15,112,,,,,,,,11:41:46:535,11:41:47:274,11:41:50:293,right,11:41:50:894,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
17,vgpdm_dyn(5)-lvm(30)_final(7).mov,False,left,0,training(30).mov,0,16,16,153,,,,,,,,11:41:51:663,11:41:52:411,11:41:55:414,left,11:41:56:031,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
18,map_gpdm_final(6).mov,False,left,0,training(28).mov,0,17,17,67,,,,,,,,11:41:56:782,11:41:57:532,11:42:00:534,left,11:42:00:951,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
19,training(13).mov,True,right,0,vcgpdm_dyn(20)-lvm(30)_final(5).mov,0,18,18,5,,,,,,,,11:42:01:754,11:42:02:469,11:42:05:455,right,11:42:05:905,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
20,training(32).mov,True,right,0,vgpdm_dyn(25)-lvm(5)_final(6).mov,0,19,19,64,,,,,,,,11:42:06:666,11:42:07:406,11:42:10:409,right,11:42:10:775,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
21,vcgpdm_dyn(35)-lvm(25)_final(1).mov,False,left,0,training(17).mov,0,20,20,138,,,,,,,,11:42:11:541,11:42:12:278,11:42:15:264,left,11:42:15:832,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
22,vgpdm_dyn(5)-lvm(5)_final(6)_out_of_screen.mov,False,left,0,training(48).mov,0,21,21,149,,,,,,,,11:42:16:586,11:42:17:333,11:42:20:336,right,11:42:20:870,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
23,training(34).mov,True,right,0,tmp_numprim(10)_final(8).mov,0,22,22,42,,,,,,,,11:42:21:667,11:42:22:371,11:42:25:373,left,11:42:26:407,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
24,vcgpdm_dyn(35)-lvm(25)_final(3).mov,False,left,0,training(3).mov,0,23,23,98,,,,,,,,11:42:27:152,11:42:27:909,11:42:30:911,left,11:42:31:545,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
25,training(48).mov,False,right,0,tmp_numprim(5)_final(2).mov,0,24,24,136,,,,,,,,11:42:32:295,11:42:33:063,11:42:36:066,right,11:42:36:483,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
26,vcgpdm_dyn(5)-lvm(5)_final(3).mov,False,left,0,training(23).mov,0,25,25,123,,,,,,,,11:42:37:272,11:42:37:984,11:42:40:987,right,11:42:41:487,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
27,training(12).mov,True,right,0,vcgpdm_dyn(20)-lvm(15)_final(8).mov,0,26,26,89,,,,,,,,11:42:42:248,11:42:42:988,11:42:45:991,left,11:42:46:541,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
28,vcgpdm_dyn(15)-lvm(25)_final(8).mov,True,left,0,training(41).mov,0,27,27,107,,,,,,,,11:42:47:300,11:42:48:057,11:42:51:044,left,11:42:51:511,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
29,training(19).mov,False,right,0,vgpdm_dyn(15)-lvm(5)_final(2).mov,0,28,28,128,,,,,,,,11:42:52:269,11:42:53:012,11:42:56:015,right,11:42:56:415,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
30,training(1).mov,True,right,0,vgpdm_dyn(10)-lvm(30)_final(8).mov,0,29,29,18,,,,,,,,11:42:57:170,11:42:57:933,11:43:00:904,right,11:43:01:271,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
31,training(28).mov,True,right,0,vgpdm_dyn(35)-lvm(30)_final(9).mov,0,30,30,32,,,,,,,,11:43:02:028,11:43:02:772,11:43:05:775,left,11:43:06:192,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
32,training(3).mov,True,right,0,vgpdm_dyn(20)-lvm(30)_final(2).mov,0,31,31,47,,,,,,,,11:43:06:938,11:43:07:693,11:43:10:713,left,11:43:11:213,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
33,training(9).mov,False,right,0,tmp_numprim(4)_final(0).mov,0,32,32,51,,,,,,,,11:43:11:967,11:43:12:715,11:43:15:717,right,11:43:16:084,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
34,training(15).mov,False,right,0,vgpdm_dyn(20)-lvm(5)_final(5).mov,0,33,33,97,,,,,,,,11:43:16:841,11:43:17:585,11:43:20:587,right,11:43:21:055,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
35,vgpdm_dyn(10)-lvm(20)_final(2).mov,True,left,0,training(7).mov,0,34,34,114,,,,,,,,11:43:21:810,11:43:22:556,11:43:25:559,left,11:43:25:960,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
36,vgpdm_dyn(35)-lvm(35)_final(2).mov,True,left,0,training(20).mov,0,35,35,33,,,,,,,,11:43:26:719,11:43:27:477,11:43:30:463,right,11:43:31:064,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
37,training(37).mov,True,right,0,vgpdm_dyn(10)-lvm(5)_final(4).mov,0,36,36,61,,,,,,,,11:43:31:836,11:43:32:565,11:43:35:584,left,11:43:36:151,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
