trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,42.3380410685,,,,,,,,,,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
,,,,,,,,,,,,,space,7.03802399204,,,,,,,,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
,,,,,,,,,,,,,,,space,7.13957590628,,,,,,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
1,vcgpdm_dyn(30)-lvm(5)_final(9).mov,True,left,0,training(9).mov,0,0,0,38,,,,,,,,10:08:35:257,10:08:35:257,10:08:38:059,left,10:08:39:760,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
2,training(12).mov,True,right,0,vcgpdm_dyn(10)-lvm(30)_final(6).mov,0,1,1,20,,,,,,,,10:08:40:694,10:08:41:262,10:08:44:264,right,10:08:44:865,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
3,training(6).mov,True,right,0,dmp_npsi(45)_final(8).mov,0,2,2,110,,,,,,,,10:08:45:627,10:08:46:382,10:08:49:368,left,10:08:50:185,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
4,training(40).mov,False,right,0,vcgpdm_dyn(10)-lvm(25)_final(6).mov,0,3,3,123,,,,,,,,10:08:50:962,10:08:51:687,10:08:54:690,right,10:08:55:307,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
5,training(24).mov,True,right,0,vgpdm_dyn(30)-lvm(10)_final(3).mov,0,4,4,48,,,,,,,,10:08:56:065,10:08:56:825,10:08:59:811,left,10:09:00:278,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
6,vgpdm_dyn(30)-lvm(5)_final(8).mov,False,left,0,training(9).mov,0,5,5,102,,,,,,,,10:09:01:056,10:09:01:796,10:09:04:782,right,10:09:05:315,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
7,vgpdm_dyn(25)-lvm(35)_final(9).mov,False,left,0,training(28).mov,0,6,6,61,,,,,,,,10:09:06:076,10:09:06:816,10:09:09:819,right,10:09:10:836,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
8,dmp_npsi(30)_final(8).mov,False,left,0,training(38).mov,0,7,7,33,,,,,,,,10:09:11:601,10:09:12:339,10:09:15:341,left,10:09:15:907,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
9,vgpdm_dyn(30)-lvm(5)_final(0).mov,True,left,0,training(28).mov,0,8,8,44,,,,,,,,10:09:16:676,10:09:17:424,10:09:20:410,left,10:09:20:810,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
10,training(2).mov,False,right,0,vgpdm_dyn(10)-lvm(10)_final(5).mov,0,9,9,148,,,,,,,,10:09:21:572,10:09:22:311,10:09:25:314,left,10:09:25:764,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
11,training(6).mov,False,right,0,vcgpdm_dyn(35)-lvm(5)_final(8).mov,0,10,10,60,,,,,,,,10:09:26:516,10:09:27:266,10:09:30:254,left,10:09:30:754,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
12,training(41).mov,False,right,0,tmp_numprim(3)_final(0).mov,0,11,11,98,,,,,,,,10:09:31:515,10:09:32:256,10:09:35:258,right,10:09:35:659,2018_Jun_07_1007,59.9676895013,MP-Perception Experiment,xx13w23,
