trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,16.4825736797,,,,,,,,,,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
,,,,,,,,,,,,,space,1.78506549458,,,,,,,,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
,,,,,,,,,,,,,,,space,1.58488334516,,,,,,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
1,training(26).mov,True,right,0,tmp_numprim(8)_final(6).mov,0,0,0,113,,,,,,,,16:36:03:395,16:36:03:884,16:36:06:436,left,16:36:06:886,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
2,vcgpdm_dyn(15)-lvm(5)_final(5).mov,True,left,0,training(3).mov,0,1,1,133,,,,,,,,16:36:07:659,16:36:08:388,16:36:11:391,right,16:36:11:491,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
3,training(21).mov,True,right,0,vgpdm_dyn(35)-lvm(25)_final(3).mov,0,2,2,77,,,,,,,,16:36:12:241,16:36:12:992,16:36:15:995,right,16:36:16:262,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
4,tmp_numprim(2)_final(6).mov,True,left,0,training(34).mov,0,3,3,150,,,,,,,,16:36:17:072,16:36:17:763,16:36:20:765,left,16:36:21:015,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
5,vcgpdm_dyn(30)-lvm(10)_final(5).mov,True,left,0,training(35).mov,0,4,4,127,,,,,,,,16:36:21:988,16:36:22:517,16:36:25:520,left,16:36:25:670,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
6,training(41).mov,True,right,0,vcgpdm_dyn(5)-lvm(25)_final(8).mov,0,5,5,148,,,,,,,,16:36:26:452,16:36:27:171,16:36:30:174,right,16:36:30:507,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
7,training(32).mov,True,right,0,vgpdm_dyn(20)-lvm(25)_final(0).mov,0,6,6,144,,,,,,,,16:36:31:466,16:36:32:023,16:36:35:026,right,16:36:35:159,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
8,dmp_npsi(20)_final(7).mov,True,left,0,training(34).mov,0,7,7,75,,,,,,,,16:36:35:933,16:36:36:661,16:36:39:663,left,16:36:40:130,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
9,vcgpdm_dyn(25)-lvm(35)_final(4).mov,True,left,0,training(30).mov,0,8,8,134,,,,,,,,16:36:41:031,16:36:41:631,16:36:44:620,left,16:36:45:054,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
