trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,80.2684071654,,,,,,,,,,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
,,,,,,,,,,,,,space,2.3521263264,,,,,,,,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
,,,,,,,,,,,,,,,space,1.41800671074,,,,,,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
1,dmp_npsi(50)_final(9).webm,False,left,0,training(11).webm,0,0,0,10,,,,,,,,15:29:00:712,15:29:01:331,15:29:04:319,left,15:29:05:303,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
2,training(20).webm,False,right,0,vgpdm_dyn(10)-lvm(10)_final(7).webm,0,1,1,52,,,,,,,,15:29:06:070,15:29:06:804,15:29:09:807,right,15:29:10:324,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
3,vcgpdm_dyn(10)-lvm(35)_final(2).webm,False,left,0,training(17).webm,0,2,2,76,,,,,,,,15:29:11:091,15:29:11:825,15:29:14:827,left,15:29:15:243,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
4,vcgpdm_dyn(20)-lvm(15)_final(0).webm,False,left,0,training(39).webm,0,3,3,155,,,,,,,,15:29:16:002,15:29:16:744,15:29:19:747,right,15:29:20:164,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
5,training(31).webm,False,right,0,vcgpdm_dyn(15)-lvm(30)_final(2).webm,0,4,4,11,,,,,,,,15:29:20:924,15:29:21:665,15:29:24:668,right,15:29:25:118,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
6,vcgpdm_dyn(35)-lvm(10)_final(5).webm,True,left,0,training(1).webm,0,5,5,146,,,,,,,,15:29:25:879,15:29:26:621,15:29:29:607,left,15:29:30:024,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
7,vcgpdm_dyn(35)-lvm(20)_final(8).webm,False,left,0,training(27).webm,0,6,6,138,,,,,,,,15:29:30:785,15:29:31:525,15:29:34:528,left,15:29:35:078,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
8,vgpdm_dyn(15)-lvm(30)_final(5).webm,True,left,0,training(38).webm,0,7,7,21,,,,,,,,15:29:35:842,15:29:36:580,15:29:39:583,left,15:29:39:883,,2018_Jun_13_1527,59.9373792805,MP-Perception Experiment,xx20m31,
