trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,76.1667558641,,,,,,,,,,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
,,,,,,,,,,,,,space,7.89018660979,,,,,,,,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
,,,,,,,,,,,,,,,space,11.7267731634,,,,,,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
1,vcgpdm_dyn(20)-lvm(15)_final(8).webm,True,left,0,training(31).webm,0,0,0,72,,,,,,,,16:37:15:001,16:37:15:652,16:37:18:636,left,16:37:18:853,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
2,training(8).webm,True,right,0,vgpdm_dyn(20)-lvm(35)_final(9).webm,0,1,1,123,,,,,,,,16:37:19:663,16:37:20:354,16:37:23:357,right,16:37:24:474,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
3,vgpdm_dyn(35)-lvm(10)_final(2).webm,True,left,0,training(2).webm,0,2,2,56,,,,,,,,16:37:25:428,16:37:25:976,16:37:28:978,left,16:37:29:848,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
4,training(20).webm,True,right,0,vcgpdm_dyn(35)-lvm(20)_final(1).webm,0,3,3,35,,,,,,,,16:37:30:600,16:37:31:349,16:37:34:352,right,16:37:35:720,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
5,vgpdm_dyn(10)-lvm(10)_final(8).webm,False,left,0,training(28).webm,0,4,4,117,,,,,,,,16:37:36:486,16:37:37:221,16:37:40:223,left,16:37:41:191,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
6,vcgpdm_dyn(5)-lvm(30)_final(3)_bad.webm,False,left,0,training(34).webm,0,5,5,67,,,,,,,,16:37:41:952,16:37:42:692,16:37:45:694,left,16:37:46:361,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
7,training(2).webm,False,right,0,vgpdm_dyn(30)-lvm(35)_final(2).webm,0,6,6,61,,,,,,,,16:37:47:124,16:37:47:864,16:37:50:866,right,16:37:51:950,,2018_Jun_13_1635,59.9520975599,MP-Perception Experiment,xx21w20,
