trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,51.9439680084,,,,,,,,,,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
,,,,,,,,,,,,,space,16.3821726548,,,,,,,,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
,,,,,,,,,,,,,,,space,18.2488974877,,,,,,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
1,vcgpdm_dyn(5)-lvm(20)_final(3).webm,False,left,0,training(22).webm,0,0,0,116,,,,,,,,10:16:31:680,10:16:32:192,10:16:35:112,right,10:16:36:830,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
2,vcgpdm_dyn(25)-lvm(10)_final(5).webm,True,left,0,training(13).webm,0,1,1,118,,,,,,,,10:16:37:590,10:16:38:331,10:16:41:334,right,10:16:43:467,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
3,training(30).webm,False,right,0,vcgpdm_dyn(5)-lvm(35)_final(7)_bad.webm,0,2,2,122,,,,,,,,10:16:44:408,10:16:44:969,10:16:47:971,right,10:16:48:872,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
4,vgpdm_dyn(5)-lvm(10)_final(1).webm,True,left,0,training(27).webm,0,3,3,34,,,,,,,,10:16:49:808,10:16:50:373,10:16:53:375,left,10:16:53:909,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
5,training(4).webm,False,right,0,vgpdm_dyn(10)-lvm(10)_final(5).webm,0,4,4,113,,,,,,,,10:16:54:861,10:16:55:412,10:16:58:399,right,10:17:00:818,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
6,training(19).webm,False,right,0,vcgpdm_dyn(30)-lvm(35)_final(9).webm,0,5,5,86,,,,,,,,10:17:01:767,10:17:02:319,10:17:05:321,right,10:17:05:955,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
7,training(48).webm,True,right,0,dmp_npsi(30)_final(2).webm,0,6,6,78,,,,,,,,10:17:06:724,10:17:07:456,10:17:10:459,right,10:17:11:109,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
8,training(2).webm,False,right,0,vcgpdm_dyn(25)-lvm(10)_final(5).webm,0,7,7,42,,,,,,,,10:17:12:040,10:17:12:610,10:17:15:614,left,10:17:16:281,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
9,training(30).webm,True,right,0,vcgpdm_dyn(25)-lvm(20)_final(4).webm,0,8,8,132,,,,,,,,10:17:17:246,10:17:17:782,10:17:20:785,right,10:17:21:035,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
10,vcgpdm_dyn(20)-lvm(30)_final(4).webm,True,left,0,training(9).webm,0,9,9,32,,,,,,,,10:17:21:987,10:17:22:536,10:17:25:539,left,10:17:26:389,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
11,vcgpdm_dyn(25)-lvm(5)_final(7).webm,False,left,0,training(11).webm,0,10,10,67,,,,,,,,10:17:27:166,10:17:27:890,10:17:30:893,right,10:17:35:129,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
12,vgpdm_dyn(30)-lvm(25)_final(8).webm,False,left,0,training(10).webm,0,11,11,138,,,,,,,,10:17:36:078,10:17:36:630,10:17:39:632,left,10:17:40:950,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
13,training(28).webm,True,right,0,dmp_npsi(45)_final(5).webm,0,12,12,48,,,,,,,,10:17:41:877,10:17:42:451,10:17:45:439,right,10:17:46:540,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
14,training(35).webm,False,right,0,vcgpdm_dyn(20)-lvm(15)_final(1).webm,0,13,13,47,,,,,,,,10:17:47:470,10:17:48:041,10:17:51:045,right,10:17:51:762,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
15,training(18).webm,False,right,0,vgpdm_dyn(25)-lvm(20)_final(3).webm,0,14,14,79,,,,,,,,10:17:52:702,10:17:53:263,10:17:56:265,right,10:18:00:002,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
16,vgpdm_dyn(10)-lvm(30)_final(9).webm,True,left,0,training(24).webm,0,15,15,131,,,,,,,,10:18:00:759,10:18:01:503,10:18:04:505,left,10:18:07:058,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
17,tmp_numprim(6)_final(7).webm,True,left,0,training(24).webm,0,16,16,52,,,,,,,,10:18:08:003,10:18:08:559,10:18:11:562,left,10:18:13:247,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
18,vgpdm_dyn(10)-lvm(25)_final(3).webm,True,left,0,training(36).webm,0,17,17,96,,,,,,,,10:18:14:011,10:18:14:748,10:18:17:750,left,10:18:18:284,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
19,vgpdm_dyn(5)-lvm(15)_final(8).webm,False,left,0,training(9).webm,0,18,18,74,,,,,,,,10:18:19:232,10:18:19:785,10:18:22:788,left,10:18:22:804,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
20,training(23).webm,True,right,0,dmp_npsi(40)_final(2).webm,0,19,19,63,,,,,,,,10:18:23:746,10:18:24:320,10:18:27:307,left,10:18:27:624,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
21,vgpdm_dyn(10)-lvm(10)_final(1).webm,True,left,0,training(33).webm,0,20,20,54,,,,,,,,10:18:28:582,10:18:29:125,10:18:32:128,left,10:18:32:495,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
22,training(33).webm,False,right,0,vgpdm_dyn(25)-lvm(30)_final(9).webm,0,21,21,70,,,,,,,,10:18:33:439,10:18:33:996,10:18:36:983,left,10:18:38:068,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
23,vgpdm_dyn(35)-lvm(35)_final(7).webm,True,left,0,training(9).webm,0,22,22,4,,,,,,,,10:18:39:030,10:18:39:569,10:18:42:572,left,10:18:42:806,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
24,vgpdm_dyn(10)-lvm(10)_final(7).webm,True,left,0,training(4).webm,0,23,23,95,,,,,,,,10:18:43:742,10:18:44:307,10:18:47:310,left,10:18:47:810,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
25,training(27).webm,True,right,0,vcgpdm_dyn(10)-lvm(25)_final(4).webm,0,24,24,26,,,,,,,,10:18:48:742,10:18:49:311,10:18:52:313,right,10:18:52:731,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
26,training(3).webm,True,right,0,vcgpdm_dyn(35)-lvm(30)_final(4).webm,0,25,25,148,,,,,,,,10:18:53:692,10:18:54:232,10:18:57:234,right,10:18:57:818,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
27,training(48).webm,True,right,0,vgpdm_dyn(30)-lvm(20)_final(7).webm,0,26,26,87,,,,,,,,10:18:58:577,10:18:59:319,10:19:02:323,right,10:19:05:091,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
28,training(16).webm,False,right,0,vgpdm_dyn(25)-lvm(30)_final(2).webm,0,27,27,30,,,,,,,,10:19:05:908,10:19:06:593,10:19:09:595,right,10:19:10:779,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
29,training(41).webm,True,right,0,vgpdm_dyn(15)-lvm(15)_final(5).webm,0,28,28,139,,,,,,,,10:19:11:491,10:19:12:281,10:19:15:281,right,10:19:18:818,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
