trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,69.3936874695,,,,,,,,,,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
,,,,,,,,,,,,,space,9.9085246267,,,,,,,,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
,,,,,,,,,,,,,,,space,14.5957935537,,,,,,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
1,training(3).webm,True,right,0,vcgpdm_dyn(5)-lvm(15)_final(1).webm,0,0,0,12,,,,,,,,12:38:11:146,12:38:11:664,12:38:14:199,right,12:38:16:734,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
2,vcgpdm_dyn(15)-lvm(35)_final(6).webm,True,left,0,training(11).webm,0,1,1,131,,,,,,,,12:38:17:416,12:38:18:235,12:38:21:238,left,12:38:21:955,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
3,training(15).webm,True,right,0,vgpdm_dyn(30)-lvm(10)_final(5).webm,0,2,2,76,,,,,,,,12:38:22:640,12:38:23:456,12:38:26:459,left,12:38:27:328,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
4,training(1).webm,True,right,0,vcgpdm_dyn(10)-lvm(25)_final(5).webm,0,3,3,63,,,,,,,,12:38:28:173,12:38:28:829,12:38:31:831,right,12:38:32:466,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
5,training(24).webm,True,right,0,vcgpdm_dyn(5)-lvm(15)_final(7).webm,0,4,4,87,,,,,,,,12:38:33:154,12:38:33:967,12:38:36:970,left,12:38:38:471,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
6,vcgpdm_dyn(30)-lvm(30)_final(1).webm,True,left,0,training(31).webm,0,5,5,21,,,,,,,,12:38:39:346,12:38:39:972,12:38:42:975,left,12:38:43:792,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
7,training(13).webm,False,right,0,vcgpdm_dyn(10)-lvm(20)_final(9).webm,0,6,6,26,,,,,,,,12:38:44:644,12:38:45:293,12:38:48:296,right,12:38:48:863,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
8,training(31).webm,False,right,0,vcgpdm_dyn(10)-lvm(30)_final(8).webm,0,7,7,128,,,,,,,,12:38:49:672,12:38:50:365,12:38:53:368,left,12:38:54:668,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
9,vgpdm_dyn(35)-lvm(5)_final(3).webm,False,left,0,training(9).webm,0,8,8,32,,,,,,,,12:38:55:496,12:38:56:170,12:38:59:172,right,12:38:59:689,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
10,training(9).webm,False,right,0,vcgpdm_dyn(35)-lvm(5)_final(5).webm,0,9,9,38,,,,,,,,12:39:00:491,12:39:01:190,12:39:04:193,left,12:39:04:693,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
11,training(5).webm,True,right,0,vcgpdm_dyn(35)-lvm(25)_final(2).webm,0,10,10,41,,,,,,,,12:39:05:556,12:39:06:209,12:39:09:213,left,12:39:09:930,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
12,training(39).webm,True,right,0,vcgpdm_dyn(10)-lvm(10)_final(6).webm,0,11,11,135,,,,,,,,12:39:10:842,12:39:11:431,12:39:14:434,left,12:39:14:884,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
13,vcgpdm_dyn(25)-lvm(20)_final(9).webm,True,left,0,training(22).webm,0,12,12,127,,,,,,,,12:39:15:734,12:39:16:385,12:39:19:389,left,12:39:20:207,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
14,training(36).webm,True,right,0,vcgpdm_dyn(30)-lvm(5)_final(8).webm,0,13,13,141,,,,,,,,12:39:21:015,12:39:21:708,12:39:24:711,left,12:39:25:262,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
15,training(34).webm,False,right,0,dmp_npsi(15)_final(0).webm,0,14,14,95,,,,,,,,12:39:26:110,12:39:26:763,12:39:29:766,right,12:39:30:533,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
16,vcgpdm_dyn(25)-lvm(20)_final(1).webm,False,left,0,training(7).webm,0,15,15,140,,,,,,,,12:39:31:368,12:39:32:034,12:39:35:036,right,12:39:35:637,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
17,vcgpdm_dyn(35)-lvm(10)_final(1).webm,False,left,0,training(15).webm,0,16,16,6,,,,,,,,12:39:36:416,12:39:37:138,12:39:40:141,left,12:39:40:741,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
18,vcgpdm_dyn(15)-lvm(15)_final(8).webm,False,left,0,training(13).webm,0,17,17,45,,,,,,,,12:39:41:490,12:39:42:243,12:39:45:246,left,12:39:45:596,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
19,training(40).webm,True,right,0,vcgpdm_dyn(5)-lvm(5)_final(4).webm,0,18,18,157,,,,,,,,12:39:46:442,12:39:47:097,12:39:50:100,left,12:39:50:567,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
20,map_cgpdm_final(6).webm,False,left,0,training(36).webm,0,19,19,44,,,,,,,,12:39:51:342,12:39:52:068,12:39:55:068,left,12:39:55:902,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
21,vgpdm_dyn(30)-lvm(5)_final(3).webm,True,left,0,training(11).webm,0,20,20,158,,,,,,,,12:39:56:582,12:39:57:404,12:40:00:407,left,12:40:00:907,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
22,vcgpdm_dyn(15)-lvm(20)_final(5).webm,False,left,0,training(40).webm,0,21,21,100,,,,,,,,12:40:01:686,12:40:02:409,12:40:05:411,left,12:40:05:795,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
23,training(1).webm,False,right,0,vgpdm_dyn(35)-lvm(5)_final(7).webm,0,22,22,57,,,,,,,,12:40:06:615,12:40:07:296,12:40:10:283,right,12:40:10:667,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
24,vgpdm_dyn(5)-lvm(30)_final(1).webm,True,left,0,training(26).webm,0,23,23,114,,,,,,,,12:40:11:525,12:40:12:168,12:40:15:171,left,12:40:15:805,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
25,vcgpdm_dyn(5)-lvm(35)_final(3)_bad.webm,True,left,0,training(25).webm,0,24,24,18,,,,,,,,12:40:16:637,12:40:17:323,12:40:20:309,left,12:40:21:310,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
26,training(21).webm,True,right,0,vcgpdm_dyn(10)-lvm(35)_final(0).webm,0,25,25,49,,,,,,,,12:40:21:995,12:40:22:811,12:40:25:814,right,12:40:26:247,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
27,vgpdm_dyn(15)-lvm(25)_final(1).webm,True,left,0,training(11).webm,0,26,26,138,,,,,,,,12:40:27:026,12:40:27:748,12:40:30:751,left,12:40:31:135,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
28,tmp_numprim(6)_final(1).webm,True,left,0,training(36).webm,0,27,27,152,,,,,,,,12:40:31:816,12:40:32:636,12:40:35:639,left,12:40:36:273,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
29,vcgpdm_dyn(10)-lvm(10)_final(9).webm,True,left,0,training(3).webm,0,28,28,30,,,,,,,,12:40:37:022,12:40:37:774,12:40:40:777,left,12:40:41:361,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
30,tmp_numprim(6)_final(1).webm,False,left,0,training(25).webm,0,29,29,88,,,,,,,,12:40:42:038,12:40:42:862,12:40:45:862,right,12:40:46:313,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
31,vcgpdm_dyn(25)-lvm(15)_final(9).webm,True,left,0,training(9).webm,0,30,30,54,,,,,,,,12:40:47:164,12:40:47:831,12:40:50:816,left,12:40:51:450,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
32,training(9).webm,False,right,0,vcgpdm_dyn(35)-lvm(20)_final(0).webm,0,31,31,149,,,,,,,,12:40:52:131,12:40:52:952,12:40:55:955,right,12:40:56:389,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
33,training(38).webm,False,right,0,vgpdm_dyn(10)-lvm(20)_final(7).webm,0,32,32,20,,,,,,,,12:40:57:226,12:40:57:891,12:41:00:894,right,12:41:01:478,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
34,vcgpdm_dyn(15)-lvm(15)_final(8).webm,True,left,0,training(22).webm,0,33,33,105,,,,,,,,12:41:02:154,12:41:02:979,12:41:05:981,left,12:41:06:615,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
35,vgpdm_dyn(30)-lvm(20)_final(4).webm,False,left,0,training(28).webm,0,34,34,1,,,,,,,,12:41:07:468,12:41:08:116,12:41:11:120,right,12:41:11:504,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
36,training(41).webm,False,right,0,vgpdm_dyn(30)-lvm(30)_final(3).webm,0,35,35,27,,,,,,,,12:41:12:207,12:41:13:005,12:41:16:007,right,12:41:16:541,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
37,training(30).webm,False,right,0,vgpdm_dyn(30)-lvm(5)_final(3).webm,0,36,36,56,,,,,,,,12:41:17:386,12:41:18:042,12:41:21:044,right,12:41:21:428,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
38,training(11).webm,False,right,0,dmp_npsi(25)_final(4).webm,0,37,37,9,,,,,,,,12:41:22:115,12:41:22:929,12:41:25:932,right,12:41:26:599,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
39,training(7).webm,False,right,0,vgpdm_dyn(5)-lvm(20)_final(8).webm,0,38,38,113,,,,,,,,12:41:27:280,12:41:28:101,12:41:31:104,right,12:41:31:587,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
40,vgpdm_dyn(35)-lvm(25)_final(0).webm,False,left,0,training(15).webm,0,39,39,16,,,,,,,,12:41:32:270,12:41:33:089,12:41:36:089,left,12:41:36:406,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
41,vcgpdm_dyn(20)-lvm(10)_final(7).webm,False,left,0,training(35).webm,0,40,40,51,,,,,,,,12:41:37:089,12:41:37:907,12:41:40:910,left,12:41:41:460,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
42,training(11).webm,True,right,0,vgpdm_dyn(35)-lvm(10)_final(1).webm,0,41,41,155,,,,,,,,12:41:42:141,12:41:42:961,12:41:45:965,left,12:41:46:499,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
43,training(6).webm,False,right,0,vgpdm_dyn(35)-lvm(35)_final(7).webm,0,42,42,80,,,,,,,,12:41:47:179,12:41:48:000,12:41:50:987,right,12:41:51:288,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
44,tmp_numprim(8)_final(7).webm,True,left,0,training(17).webm,0,43,43,92,,,,,,,,12:41:51:979,12:41:52:789,12:41:55:791,right,12:41:56:308,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
45,training(38).webm,True,right,0,vcgpdm_dyn(15)-lvm(25)_final(1).webm,0,44,44,7,,,,,,,,12:41:57:138,12:41:57:809,12:42:00:829,right,12:42:01:346,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
46,vgpdm_dyn(20)-lvm(20)_final(7).webm,True,left,0,training(15).webm,0,45,45,71,,,,,,,,12:42:02:030,12:42:02:848,12:42:05:850,left,12:42:06:267,,2013_Jan_04_1236,59.9492656153,MP-Perception Experiment,xx25w20,
