trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,136.483941704,,,,,,,,,,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
,,,,,,,,,,,,,space,48.0574655663,,,,,,,,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
,,,,,,,,,,,,,,,space,40.8346829315,,,,,,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
1,vgpdm_dyn(15)-lvm(15)_final(2).webm,True,left,0,training(20).webm,0,0,0,77,,,,,,,,10:42:20:864,10:42:21:367,10:42:23:936,right,10:42:25:271,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
2,vcgpdm_dyn(5)-lvm(10)_final(7).webm,False,left,0,training(4).webm,0,1,1,133,,,,,,,,10:42:25:955,10:42:26:772,10:42:29:774,right,10:42:30:992,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
3,training(8).webm,False,right,0,vcgpdm_dyn(15)-lvm(30)_final(3).webm,0,2,2,31,,,,,,,,10:42:31:845,10:42:32:493,10:42:35:496,right,10:42:36:313,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
4,training(30).webm,False,right,0,tmp_numprim(6)_final(1).webm,0,3,3,55,,,,,,,,10:42:37:010,10:42:37:815,10:42:40:817,left,10:42:43:768,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
5,vgpdm_dyn(30)-lvm(20)_final(1).webm,True,left,0,training(23).webm,0,4,4,26,,,,,,,,10:42:44:451,10:42:45:269,10:42:48:272,left,10:42:48:705,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
6,training(37).webm,False,right,0,map_gpdm_final(8).webm,0,5,5,137,,,,,,,,10:42:49:500,10:42:50:206,10:42:53:209,right,10:42:53:559,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
7,training(4).webm,True,right,0,vcgpdm_dyn(35)-lvm(25)_final(8).webm,0,6,6,27,,,,,,,,10:42:54:247,10:42:55:063,10:42:58:049,left,10:42:59:834,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
8,vgpdm_dyn(15)-lvm(30)_final(1).webm,False,left,0,training(7).webm,0,7,7,6,,,,,,,,10:43:00:688,10:43:01:335,10:43:04:337,left,10:43:05:005,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
9,vgpdm_dyn(15)-lvm(35)_final(9).webm,False,left,0,training(16).webm,0,8,8,132,,,,,,,,10:43:05:685,10:43:06:506,10:43:09:508,left,10:43:10:175,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
10,vcgpdm_dyn(25)-lvm(15)_final(8).webm,True,left,0,training(3).webm,0,9,9,131,,,,,,,,10:43:10:858,10:43:11:677,10:43:14:680,left,10:43:16:965,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
11,training(24).webm,True,right,0,vgpdm_dyn(10)-lvm(30)_final(6).webm,0,10,10,23,,,,,,,,10:43:17:656,10:43:18:466,10:43:21:469,right,10:43:22:336,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
12,vcgpdm_dyn(5)-lvm(10)_final(1).webm,True,left,0,training(17).webm,0,11,11,2,,,,,,,,10:43:23:170,10:43:23:837,10:43:26:840,left,10:43:27:707,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
13,training(33).webm,False,right,0,tmp_numprim(4)_final(6).webm,0,12,12,90,,,,,,,,10:43:28:561,10:43:29:208,10:43:32:212,right,10:43:33:311,,2013_Jan_11_1038,59.9494278358,MP-Perception Experiment,xx28m21,
