n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(0).mov,resources/videos_natural\training(5).mov,True,False,right,0,0,0,0,2018-10-08 12:55:14.883878,2018-10-08 12:55:20.355191,0:00:05.471313,1,left,0,13.895112019973567,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(19)_final(2).mov,resources/videos_natural\training(22).mov,True,True,left,0,1,1,1,2018-10-08 12:55:35.435053,2018-10-08 12:55:39.371278,0:00:03.936225,1,right,0,0.8010685491764207,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
3,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(7).mov,resources/videos_natural\training(30).mov,False,True,left,0,2,2,2,2018-10-08 12:55:41.356392,2018-10-08 12:55:45.259615,0:00:03.903223,1,left,1,0.8009185667948486,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(23)_final(8).mov,resources/videos_natural\training(18).mov,True,True,left,0,3,3,3,2018-10-08 12:55:47.178725,2018-10-08 12:55:51.081948,0:00:03.903223,1,left,1,0.48400579450003534,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
5,resources/videos_generated\model(tmp)-dataset(walking)-numprim(13)_final(9).mov,resources/videos_natural\training(19).mov,False,False,right,0,4,4,4,2018-10-08 12:55:52.683040,2018-10-08 12:55:56.753273,0:00:04.070233,1,left,0,0.3505883345029588,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(27)_final(2).mov,resources/videos_natural\training(1).mov,True,True,left,0,5,5,5,2018-10-08 12:55:58.221357,2018-10-08 12:56:02.291589,0:00:04.070232,1,right,0,0.3505476766283664,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(0).mov,resources/videos_natural\training(47).mov,False,True,left,0,6,6,6,2018-10-08 12:56:03.759673,2018-10-08 12:56:07.812905,0:00:04.053232,1,right,0,0.6341977900187885,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(17)_final(2).mov,resources/videos_natural\training(44).mov,True,False,right,0,7,7,7,2018-10-08 12:56:09.564005,2018-10-08 12:56:13.634238,0:00:04.070233,1,right,1,0.3840609085077631,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
9,resources/videos_generated\model(dmp)-dataset(walking)-npsi(100)_final(3).mov,resources/videos_natural\training(30).mov,False,True,left,0,8,8,8,2018-10-08 12:56:15.135324,2018-10-08 12:56:19.089550,0:00:03.954226,1,right,0,0.3005399968074016,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(2).mov,resources/videos_natural\training(41).mov,True,True,left,0,9,9,9,2018-10-08 12:56:20.506631,2018-10-08 12:56:24.610866,0:00:04.104235,1,left,1,0.33388336912230443,28,m,2,14,2018_Oct_08_1254,MP_PerceptionTuring2,59.93472935970312,
