n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(22)_final(7).mov,resources/videos_natural\training(39).mov,True,True,left,0,0,0,0,2018-09-10 16:59:12.827546,2018-09-10 16:59:16.980783,0:00:04.153237,1,left,1,2.869174311373172,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(22)_final(5)_fail.mov,resources/videos_natural\training(23).mov,True,True,left,0,1,1,1,2018-09-10 16:59:20.967011,2018-09-10 16:59:25.087247,0:00:04.120236,1,left,1,0.7174937808322284,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(2).mov,resources/videos_natural\training(43).mov,True,False,right,0,2,2,2,2018-09-10 16:59:26.922352,2018-09-10 16:59:30.909580,0:00:03.987228,1,right,1,0.48390997415936,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(9).mov,resources/videos_natural\training(18).mov,False,True,left,0,3,3,3,2018-09-10 16:59:32.510672,2018-09-10 16:59:36.597905,0:00:04.087233,1,left,1,0.8509339292486402,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
5,resources/videos_generated\model(dmp)-dataset(walking)-npsi(80)_final(4).mov,resources/videos_natural\training(5).mov,True,False,right,0,4,4,4,2018-09-10 16:59:38.566018,2018-09-10 16:59:42.653252,0:00:04.087234,1,left,0,0.5173980086619849,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(24)_final(3).mov,resources/videos_natural\training(1).mov,True,True,left,0,5,5,5,2018-09-10 16:59:44.287345,2018-09-10 16:59:48.190568,0:00:03.903223,1,left,1,2.3524048452281936,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(3).mov,resources/videos_natural\training(27).mov,False,True,left,0,6,6,6,2018-09-10 16:59:51.660767,2018-09-10 16:59:55.597992,0:00:03.937225,1,left,1,0.7841337437275797,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(3)_fail.mov,resources/videos_natural\training(13).mov,True,False,right,0,7,7,7,2018-09-10 16:59:57.499101,2018-09-10 17:00:01.452327,0:00:03.953226,1,right,1,0.7176627373974043,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(1).mov,resources/videos_natural\training(10).mov,True,False,right,0,8,8,8,2018-09-10 17:00:03.287432,2018-09-10 17:00:07.407668,0:00:04.120236,1,left,0,0.984512013685162,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(22)_final(9).mov,resources/videos_natural\training(25).mov,False,True,left,0,9,9,9,2018-09-10 17:00:09.509788,2018-09-10 17:00:13.596021,0:00:04.086233,1,left,1,0.6508203880284782,26,f,1,1,2018_Sep_10_1658,MP_PerceptionTuring2,59.96312328796935
