ELBO,MSE,mp_type,prm0_dyn,prm1_lvm,confusion_rate,std,dyn_elbo,lvm_elbo
85063.002485,0.00425540687614,vgpdm,5,5,0,0,-1557.87093307,86706.6079743
92487.3549579,0.00882964930364,vgpdm,5,10,0.021505,0.011704,-3605.25904091,96188.7523583
103651.8044,0.0130605468088,vgpdm,5,15,0.026882,0.012786,-3262.01244013,107008.046419
106514.401901,0.0114524881402,vgpdm,5,20,0.134409,0.025111,-4234.38964506,110832.27472
112673.271518,0.0204868734052,vgpdm,5,25,0,0,-3810.89757428,116570.902129
104695.492288,0.0139103478909,vgpdm,5,30,0.043011,0.015530,-3654.91462997,108446.03174
100105.310906,0.0113938634547,vgpdm,5,35,0,0,-7693.71771139,107873.223958
85443.9049084,0.00350847301827,vgpdm,10,5,0.134409,0.025111,-1334.01788987,86876.1105979
98786.8239309,0.00395690727594,vgpdm,10,10,0.344086,0.034596,-2382.93235474,101275.038865
106787.989839,0.00540065201207,vgpdm,10,15,0.301075,0.033434,-1990.66400533,108879.223233
107427.6377,0.0332309488164,vgpdm,10,20, 0.225806,0.030551,-2218.77740074,109742.62206
114104.464504,0.00724981227921,vgpdm,10,25,0.387097, 0.035450,-2283.60211837,116477.885413
80110.7843273,0.0162613709931,vgpdm,10,30,0.010753, 0.009115,-8505.76355803,88699.4822317
108333.112405,0.0181257615014,vgpdm,10,35,0.010753,0.009115,-5975.37928912,114492.566071
85678.5602205,0.0032371458544,vgpdm,15,5,0.284946, 0.032912,-1194.48605254,86960.0748586
99188.8173506,0.00530379763951,vgpdm,15,10,0,0,-2265.14346243,101562.919468
100958.224337,0.00372274544901,vgpdm,15,15,0.177419,0.027997,-3180.95221611,104228.910655
110121.28924,0.00897351865984,vgpdm,15,20,0,0,-2484.30374129,112692.996277
100506.86558,0.00499847272535,vgpdm,15,25,0.258065, 0.031931,-6678.29163721,107294.220634
108094.028545,0.018967989245,vgpdm,15,30,0.026882,0.012786,-4420.07954093,112663.357188
99009.846607,0.00468323714862,vgpdm,15,35,0.381720,0.035360 ,-3209.93773278,102325.154712
85694.3332585,0.0032360591305,vgpdm,20,5,0.225806,0.030551,-1173.42113652,86958.8061135
99302.5904407,0.0185910970811,vgpdm,20,10,0,0,-2182.67767634,101596.384739
101411.762088,0.0223410507734,vgpdm,20,15,0.317204,0.033907,-2834.19107539,104333.802055
102568.289632,0.00350437056021,vgpdm,20,20,0.526882,0.036318,-2311.68500715,104967.732377
110953.08891,0.0136688977634,vgpdm,20,25,0.274194,0.032537,-2243.58298773,113294.197845
108559.842593,0.00352268287001,vgpdm,20,30,0.413978,0.035839,-3123.55129531,111770.653631
106069.290659,0.00834184922004,vgpdm,20,35,0.241935,0.031270,-3702.9698517,109867.432951
85735.44536,0.00315046925817,vgpdm,25,5, 0.274194,0.032537,-1165.39041177,86995.1178329
99677.3062043,0.010725335999,vgpdm,25,10,0,0,-2171.01890363,101958.344619
103569.035425,0.0434570439964,vgpdm,25,15,0,0,-2218.48283623,105881.116887
110344.937963,0.0105615317357,vgpdm,25,20,0.268817,0.032341,-2138.43837567,112571.147038
104484.998314,0.0214396212381,vgpdm,25,25,0,0,-6187.2974432,110793.057212
113605.355302,0.00549406593514,vgpdm,25,30, 0.263441,0.032139,-2589.31275126,116274.605788
107243.879977,0.0050129255464,vgpdm,25,35,0.537634  ,0.036269,-3513.59784347,110878.986762
85453.8947105,0.00322303742657,vgpdm,30,5,0.220430,0.030298,-1190.58927657,86729.2108996
99308.745469,0.0201068442232,vgpdm,30,10, 0.145161,0.025897,-2323.42139885,101743.802499
105268.525128,0.00368691326646,vgpdm,30,15,0.166667,0.027337,-2411.65357369,107846.245375
107032.432446,0.00299470560416,vgpdm,30,20,0.462366,0.036269,-1784.40951774,108900.15695
108474.206828,0.012646480004,vgpdm,30,25,0.279570,0.032728,-2012.23940203,110565.526114
110342.472459,0.00385653542143,vgpdm,30,30,0.424731,0.035964,-2864.59074141,113292.22823
107861.49325,0.00304021020393,vgpdm,30,35,0.473118,0.036318,-2020.5493925,109966.173918
85762.1864393,0.00311352504682,vgpdm,35,5,0.284946,0.032912,-1125.33212517,86977.7345612
97797.7056249,0.00319398864999,vgpdm,35,10,0.510753,0.036361,-2006.15882466,99908.7069339
101295.941286,0.0177926216265,vgpdm,35,15,0,0,-3273.32371039,104658.940566
111170.388772,0.014261789402,vgpdm,35,20,0,0,-2593.33812377,113856.423898
108919.679312,0.00379110044985,vgpdm,35,25,0.225806, 0.030551,-3982.89763768,112981.688013
111137.434398,0.00813007369661,vgpdm,35,30,0.397849,0.035619,-4745.7856904,115995.687598
87425.307842,0.00718014140496,vgpdm,35,35,0.284946  ,0.032912,-7794.27677048,95310.4574788
